_run_id,__done,run_number,Programming language,LLM,Algorithm,execution_time,cpu_usage,memory_usage,energy_usage
1,False,1,C++,GPT-4o (OpenAI),"SWA, Smith-Waterman Algorithm (Sequence Alignment)",,,,
2,False,2,C++,GPT-4o (OpenAI),"BB, Branch and Bound (Optimization)",,,,
3,False,3,C++,GPT-4o (OpenAI),"BFA, Bellman-Ford Algorithm (Graph Algorithm)",,,,
4,False,4,C++,Llama 3.1 405B (Meta),"SWA, Smith-Waterman Algorithm (Sequence Alignment)",,,,
5,False,5,C++,Llama 3.1 405B (Meta),"BB, Branch and Bound (Optimization)",,,,
6,False,6,C++,Llama 3.1 405B (Meta),"BFA, Bellman-Ford Algorithm (Graph Algorithm)",,,,
7,False,7,C++,Gemeni 1.5 Pro (Google),"SWA, Smith-Waterman Algorithm (Sequence Alignment)",,,,
8,False,8,C++,Gemeni 1.5 Pro (Google),"BB, Branch and Bound (Optimization)",,,,
9,False,9,C++,Gemeni 1.5 Pro (Google),"BFA, Bellman-Ford Algorithm (Graph Algorithm)",,,,
10,False,10,C++,Claude 3.5 Sonnet (Anthropic),"SWA, Smith-Waterman Algorithm (Sequence Alignment)",,,,
11,False,11,C++,Claude 3.5 Sonnet (Anthropic),"BB, Branch and Bound (Optimization)",,,,
12,False,12,C++,Claude 3.5 Sonnet (Anthropic),"BFA, Bellman-Ford Algorithm (Graph Algorithm)",,,,
13,False,13,C++,Mistral Large 2 (Mistral),"SWA, Smith-Waterman Algorithm (Sequence Alignment)",,,,
14,False,14,C++,Mistral Large 2 (Mistral),"BB, Branch and Bound (Optimization)",,,,
15,False,15,C++,Mistral Large 2 (Mistral),"BFA, Bellman-Ford Algorithm (Graph Algorithm)",,,,
